employee_id,employee_name,department,employment_status,joining_date,service_period,leave_type,start_date,end_date,leave_duration,reason,reason_category,approved
EMP00013,Employee_13,Admin,Permanent,2024-06-14,543,Casual,2026-01-02,2026-01-09,8,Eye checkup appointment with specialist ophthalmologist scheduled,Medical,0
EMP00014,Employee_14,Operations,Contract,2023-07-15,878,Emergency,2025-12-17,2025-12-28,12,Death in the family and need to attend funeral arrangements,Emergency,0
EMP00015,Employee_15,Admin,Permanent,2025-09-03,97,Sick,2025-12-30,2026-01-03,5,Need break from work for personal well-being,Other,0
EMP00016,Employee_16,IT,Contract,2023-04-25,959,Earned,2026-01-06,2026-01-23,18,Home renovation work supervision requiring presence,Personal,0
EMP00017,Employee_17,HR,Contract,2024-06-10,547,Earned,2025-12-19,2025-12-22,4,Experiencing severe headache and stomach pain requiring medical attention,Medical,1
EMP00018,Employee_18,Admin,Permanent,2024-06-17,540,Casual,2026-01-08,2026-01-24,17,Home renovation work supervision requiring presence,Personal,0
EMP00019,Employee_19,Operations,Contract,2023-02-03,1040,Casual,2025-12-21,2025-12-25,5,Personal commitment to attend cousin's marriage ceremony,Personal,0
EMP00020,Employee_20,Engineering,Contract,2024-02-14,664,Emergency,2025-12-13,2025-12-13,1,Critical emergency involving elderly family member hospitalization,Emergency,1
EMP00021,Employee_21,Marketing,Permanent,2024-08-02,494,Sick,2026-01-02,2026-01-04,3,I have a medical appointment scheduled at the hospital for health issues,Medical,1
EMP00022,Employee_22,Finance,Permanent,2023-04-10,974,Casual,2025-12-26,2026-01-03,9,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00023,Employee_23,Marketing,Contract,2024-10-23,412,Earned,2025-12-31,2026-01-12,13,Personal reasons requiring few days of absence,Other,0
EMP00024,Employee_24,Admin,Contract,2023-05-29,925,Sick,2025-12-17,2025-12-24,8,Cultural event participation with family members,Personal,0
EMP00025,Employee_25,Marketing,Contract,2024-09-13,452,Sick,2026-01-01,2026-01-03,3,Need to undergo surgery and recovery time at home,Medical,1
EMP00026,Employee_26,HR,Permanent,2024-02-01,677,Sick,2025-12-17,2026-01-02,17,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00027,Employee_27,Marketing,Contract,2025-03-13,271,Emergency,2026-01-04,2026-01-11,8,Close relative in critical condition at emergency room,Emergency,0
EMP00028,Employee_28,Marketing,Permanent,2025-05-24,199,Emergency,2025-12-23,2026-01-03,12,Family emergency due to sudden hospitalization of parent requiring immediate attention,Emergency,1
EMP00029,Employee_29,HR,Permanent,2023-09-06,825,Earned,2025-12-17,2025-12-20,4,Planned family vacation to spend quality time together,Personal,1
EMP00030,Employee_30,Admin,Permanent,2023-07-28,865,Casual,2025-12-24,2026-01-01,9,Child's school annual day function and parent participation required,Personal,0
EMP00031,Employee_31,Admin,Contract,2025-05-22,201,Sick,2026-01-05,2026-01-22,18,Planned family vacation to spend quality time together,Personal,0
EMP00032,Employee_32,Finance,Probation,2023-03-20,995,Emergency,2026-01-06,2026-01-12,7,Family emergency due to sudden hospitalization of parent requiring immediate attention,Emergency,0
EMP00033,Employee_33,Finance,Probation,2025-12-04,5,Emergency,2026-01-08,2026-01-16,9,Home emergency due to natural disaster requiring immediate action,Emergency,0
EMP00034,Employee_34,Operations,Probation,2023-03-18,997,Casual,2025-12-19,2025-12-25,7,Attending family wedding ceremony and related functions,Personal,0
EMP00035,Employee_35,Engineering,Contract,2024-03-06,643,Sick,2025-12-28,2025-12-29,2,Eye checkup appointment with specialist ophthalmologist scheduled,Medical,1
EMP00036,Employee_36,Finance,Permanent,2023-02-02,1041,Sick,2025-12-12,2025-12-17,6,Need to undergo surgery and recovery time at home,Medical,1
EMP00037,Employee_37,IT,Permanent,2024-07-22,505,Sick,2025-12-12,2025-12-31,20,Dealing with severe migraine attacks requiring rest and medication,Medical,0
EMP00038,Employee_38,Sales,Probation,2024-10-16,419,Earned,2025-12-18,2025-12-25,8,Experiencing severe headache and stomach pain requiring medical attention,Medical,0
EMP00039,Employee_39,Operations,Probation,2024-03-01,648,Sick,2025-12-24,2025-12-24,1,Dealing with severe migraine attacks requiring rest and medication,Medical,1
EMP00040,Employee_40,HR,Permanent,2024-09-28,437,Earned,2026-01-08,2026-01-12,5,I have a medical appointment scheduled at the hospital for health issues,Medical,1
EMP00041,Employee_41,Marketing,Probation,2024-05-04,584,Casual,2026-01-05,2026-01-19,15,Having flu symptoms and doctor advised rest for few days,Medical,0
EMP00042,Employee_42,Engineering,Contract,2024-04-04,614,Sick,2025-12-18,2025-12-22,5,Long planned trip for family reunion and bonding,Personal,1
EMP00043,Employee_43,Operations,Probation,2024-10-03,432,Earned,2025-12-31,2026-01-06,7,Planning to attend professional certification exam,Other,0
EMP00044,Employee_44,Admin,Probation,2025-08-26,105,Sick,2026-01-05,2026-01-18,14,I am suffering from high fever and need to visit the doctor for checkup,Medical,0
EMP00045,Employee_45,Sales,Permanent,2024-06-20,537,Casual,2025-12-27,2026-01-10,15,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00046,Employee_46,Engineering,Permanent,2025-07-07,155,Casual,2025-12-11,2025-12-28,18,Need break from work for personal well-being,Other,0
EMP00047,Employee_47,Finance,Probation,2025-03-22,262,Sick,2025-12-21,2025-12-30,10,I am suffering from high fever and need to visit the doctor for checkup,Medical,0
EMP00048,Employee_48,Sales,Permanent,2024-07-15,512,Sick,2026-01-03,2026-01-14,12,Dental emergency requiring immediate clinic visit and recovery,Medical,1
EMP00049,Employee_49,Finance,Permanent,2025-01-10,333,Casual,2025-12-10,2025-12-23,14,Long planned trip for family reunion and bonding,Personal,0
EMP00050,Employee_50,Sales,Probation,2024-07-18,509,Earned,2026-01-04,2026-01-09,6,Taking break for mental health and stress relief,Other,0
EMP00051,Employee_51,IT,Permanent,2023-04-20,964,Casual,2026-01-05,2026-01-11,7,Personal reasons requiring few days of absence,Other,0
EMP00052,Employee_52,Operations,Permanent,2024-09-08,457,Sick,2025-12-22,2025-12-28,7,I have a medical appointment scheduled at the hospital for health issues,Medical,1
EMP00053,Employee_53,Operations,Probation,2023-01-30,1044,Emergency,2025-12-20,2026-01-06,18,Urgent situation at home needs immediate presence and resolution,Emergency,0
EMP00054,Employee_54,Operations,Permanent,2024-06-13,544,Sick,2025-12-29,2026-01-01,4,Diagnosed with infection and need time for medication and treatment,Medical,1
EMP00055,Employee_55,IT,Contract,2023-01-26,1048,Sick,2026-01-07,2026-01-19,13,Having flu symptoms and doctor advised rest for few days,Medical,0
EMP00056,Employee_56,Engineering,Contract,2023-06-29,894,Sick,2026-01-08,2026-01-24,17,Need to undergo surgery and recovery time at home,Medical,0
EMP00057,Employee_57,Sales,Probation,2025-07-18,144,Earned,2025-12-20,2026-01-08,20,Taking break for mental health and stress relief,Other,0
EMP00058,Employee_58,Operations,Contract,2024-03-15,634,Emergency,2025-12-22,2026-01-01,11,Sudden family bereavement and funeral ceremony attendance,Emergency,0
EMP00059,Employee_59,Finance,Permanent,2023-07-31,862,Emergency,2025-12-29,2026-01-03,6,Close relative in critical condition at emergency room,Emergency,1
EMP00060,Employee_60,Engineering,Probation,2024-04-30,588,Casual,2026-01-04,2026-01-17,14,Dealing with severe migraine attacks requiring rest and medication,Medical,0
EMP00061,Employee_61,Sales,Probation,2023-06-18,905,Emergency,2025-12-26,2026-01-01,7,Death in the family and need to attend funeral arrangements,Emergency,0
EMP00062,Employee_62,HR,Probation,2023-01-18,1056,Earned,2026-01-05,2026-01-07,3,Home renovation work supervision requiring presence,Personal,0
EMP00063,Employee_63,Operations,Permanent,2024-10-27,408,Casual,2025-12-11,2025-12-11,1,Parent's birthday celebration and family get together,Personal,1
EMP00064,Employee_64,HR,Probation,2023-08-13,849,Casual,2025-12-25,2026-01-06,13,Need time to complete pending personal documentation work,Other,0
EMP00065,Employee_65,Finance,Contract,2025-11-27,12,Sick,2025-12-17,2025-12-30,14,Need some days off for personal work and errands,Other,0
EMP00066,Employee_66,Marketing,Permanent,2023-05-19,935,Casual,2025-12-31,2026-01-14,15,Eye checkup appointment with specialist ophthalmologist scheduled,Medical,0
EMP00067,Employee_67,Sales,Probation,2023-02-09,1034,Emergency,2025-12-24,2026-01-10,18,Home emergency due to natural disaster requiring immediate action,Emergency,0
EMP00068,Employee_68,Admin,Probation,2024-07-20,507,Earned,2025-12-25,2026-01-10,17,Need time to complete pending personal documentation work,Other,0
EMP00069,Employee_69,Operations,Probation,2025-07-03,159,Earned,2025-12-18,2025-12-25,8,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00070,Employee_70,HR,Permanent,2025-02-03,309,Casual,2026-01-01,2026-01-13,13,Long planned trip for family reunion and bonding,Personal,0
EMP00071,Employee_71,Marketing,Permanent,2023-08-12,850,Emergency,2025-12-27,2026-01-06,11,Family emergency due to sudden hospitalization of parent requiring immediate attention,Emergency,1
EMP00072,Employee_72,Marketing,Probation,2023-10-03,798,Sick,2025-12-22,2026-01-09,19,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00073,Employee_73,Operations,Probation,2023-08-03,859,Casual,2025-12-17,2026-01-01,16,Need to handle some important personal matters,Other,0
EMP00074,Employee_74,Admin,Permanent,2023-10-04,797,Earned,2026-01-02,2026-01-14,13,Parent's birthday celebration and family get together,Personal,1
EMP00075,Employee_75,Engineering,Probation,2025-10-14,56,Sick,2025-12-14,2025-12-27,14,Experiencing severe headache and stomach pain requiring medical attention,Medical,0
EMP00076,Employee_76,Engineering,Probation,2023-10-24,777,Earned,2025-12-24,2025-12-30,7,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00077,Employee_77,IT,Probation,2023-07-29,864,Earned,2025-12-25,2025-12-27,3,Long planned trip for family reunion and bonding,Personal,0
EMP00078,Employee_78,Engineering,Probation,2024-09-05,460,Sick,2026-01-03,2026-01-04,2,Planned family vacation to spend quality time together,Personal,1
EMP00079,Employee_79,Engineering,Contract,2025-01-30,313,Casual,2025-12-25,2025-12-29,5,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00080,Employee_80,Marketing,Probation,2024-07-02,525,Earned,2025-12-29,2026-01-03,6,Taking break for mental health and stress relief,Other,0
EMP00081,Employee_81,Finance,Probation,2025-05-01,222,Sick,2025-12-28,2026-01-06,10,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00082,Employee_82,IT,Contract,2024-10-28,407,Sick,2026-01-01,2026-01-19,19,Need to undergo surgery and recovery time at home,Medical,0
EMP00083,Employee_83,HR,Contract,2024-03-31,618,Sick,2026-01-04,2026-01-22,19,Personal reasons requiring few days of absence,Other,0
EMP00084,Employee_84,HR,Contract,2024-01-10,699,Sick,2026-01-05,2026-01-18,14,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00085,Employee_85,Sales,Contract,2023-05-12,942,Casual,2025-12-15,2025-12-28,14,Eye checkup appointment with specialist ophthalmologist scheduled,Medical,0
EMP00086,Employee_86,Operations,Contract,2023-03-24,991,Emergency,2026-01-05,2026-01-18,14,Critical emergency involving elderly family member hospitalization,Emergency,0
EMP00087,Employee_87,Sales,Permanent,2025-06-14,178,Earned,2025-12-17,2025-12-31,15,Dealing with severe migraine attacks requiring rest and medication,Medical,0
EMP00088,Employee_88,IT,Probation,2025-10-11,59,Emergency,2025-12-15,2025-12-25,11,Unexpected family crisis requiring immediate travel back home,Emergency,0
EMP00089,Employee_89,Operations,Probation,2024-05-15,573,Earned,2025-12-10,2025-12-27,18,Need time to complete pending personal documentation work,Other,0
EMP00090,Employee_90,HR,Permanent,2023-08-29,833,Emergency,2026-01-03,2026-01-20,18,Home emergency due to natural disaster requiring immediate action,Emergency,0
EMP00091,Employee_91,Admin,Probation,2025-11-03,36,Sick,2025-12-17,2025-12-26,10,Need to undergo surgery and recovery time at home,Medical,0
EMP00092,Employee_92,Operations,Contract,2023-11-14,756,Emergency,2025-12-26,2026-01-12,18,Sudden family bereavement and funeral ceremony attendance,Emergency,0
EMP00093,Employee_93,Sales,Probation,2023-05-24,930,Earned,2025-12-18,2025-12-27,10,Child's school annual day function and parent participation required,Personal,0
EMP00094,Employee_94,Marketing,Probation,2025-04-08,245,Casual,2025-12-16,2025-12-22,7,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00095,Employee_95,Operations,Contract,2022-12-30,1075,Earned,2026-01-05,2026-01-08,4,Religious festival celebration with family gathering,Personal,0
EMP00096,Employee_96,Finance,Probation,2025-11-10,29,Casual,2025-12-11,2025-12-19,9,Personal commitment to attend cousin's marriage ceremony,Personal,0
EMP00097,Employee_97,Operations,Contract,2025-03-25,259,Emergency,2026-01-06,2026-01-09,4,Parent's birthday celebration and family get together,Personal,0
EMP00098,Employee_98,Admin,Probation,2024-01-11,698,Casual,2025-12-18,2025-12-19,2,Taking break for mental health and stress relief,Other,1
EMP00099,Employee_99,HR,Probation,2023-03-07,1008,Sick,2025-12-30,2026-01-17,19,Experiencing severe headache and stomach pain requiring medical attention,Medical,0
EMP00100,Employee_100,Finance,Contract,2024-03-26,623,Sick,2025-12-13,2025-12-20,8,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00101,Employee_101,Marketing,Contract,2023-10-21,780,Emergency,2025-12-19,2026-01-02,15,Close relative in critical condition at emergency room,Emergency,0
EMP00102,Employee_102,Operations,Contract,2025-08-07,124,Sick,2025-12-30,2026-01-05,7,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00103,Employee_103,Finance,Permanent,2024-12-18,356,Sick,2025-12-10,2025-12-15,6,Dealing with severe migraine attacks requiring rest and medication,Medical,1
EMP00104,Employee_104,Admin,Probation,2025-10-03,67,Casual,2026-01-01,2026-01-10,10,Taking time off for self-care and rejuvenation,Other,0
EMP00105,Employee_105,HR,Contract,2024-08-17,479,Earned,2025-12-31,2026-01-18,19,Attending important family function out of town,Personal,0
EMP00106,Employee_106,HR,Contract,2024-09-04,461,Casual,2026-01-05,2026-01-13,9,Child's school annual day function and parent participation required,Personal,0
EMP00107,Employee_107,Engineering,Permanent,2024-03-19,630,Earned,2025-12-13,2025-12-27,15,Having flu symptoms and doctor advised rest for few days,Medical,1
EMP00108,Employee_108,IT,Probation,2023-02-18,1025,Emergency,2025-12-12,2025-12-26,15,Close relative in critical condition at emergency room,Emergency,0
EMP00109,Employee_109,Sales,Contract,2024-07-14,513,Sick,2025-12-17,2025-12-19,3,Dealing with severe migraine attacks requiring rest and medication,Medical,1
EMP00110,Employee_110,Engineering,Contract,2024-06-05,552,Sick,2025-12-25,2025-12-30,6,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00111,Employee_111,Operations,Permanent,2023-06-30,893,Emergency,2025-12-25,2025-12-27,3,Unexpected family crisis requiring immediate travel back home,Emergency,1
EMP00112,Employee_112,Sales,Contract,2025-05-08,215,Casual,2025-12-23,2026-01-02,11,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00113,Employee_113,Operations,Contract,2023-09-10,821,Sick,2025-12-12,2025-12-26,15,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00114,Employee_114,HR,Probation,2023-01-20,1054,Sick,2025-12-24,2026-01-10,18,Need to undergo surgery and recovery time at home,Medical,0
EMP00115,Employee_115,Sales,Contract,2023-02-22,1021,Emergency,2025-12-16,2025-12-17,2,Death in the family and need to attend funeral arrangements,Emergency,1
EMP00116,Employee_116,Operations,Probation,2023-03-22,993,Sick,2025-12-30,2025-12-30,1,Need to undergo surgery and recovery time at home,Medical,1
EMP00117,Employee_117,Finance,Probation,2025-11-10,29,Emergency,2025-12-17,2025-12-19,3,Urgent situation at home needs immediate presence and resolution,Emergency,0
EMP00118,Employee_118,Admin,Permanent,2025-01-27,316,Emergency,2025-12-26,2026-01-04,10,Close relative in critical condition at emergency room,Emergency,1
EMP00119,Employee_119,Admin,Probation,2024-07-27,500,Emergency,2025-12-14,2025-12-31,18,Urgent legal matter requiring immediate personal presence,Emergency,0
EMP00120,Employee_120,Finance,Permanent,2024-05-22,566,Emergency,2026-01-08,2026-01-18,11,Critical emergency involving elderly family member hospitalization,Emergency,1
EMP00121,Employee_121,Engineering,Probation,2024-04-06,612,Emergency,2025-12-24,2025-12-28,5,Unexpected family crisis requiring immediate travel back home,Emergency,0
EMP00122,Employee_122,Sales,Contract,2023-10-28,773,Emergency,2026-01-06,2026-01-16,11,Child met with an accident and needs immediate care,Emergency,0
EMP00123,Employee_123,IT,Permanent,2023-08-20,842,Sick,2026-01-02,2026-01-12,11,Dental emergency requiring immediate clinic visit and recovery,Medical,1
EMP00124,Employee_124,IT,Contract,2025-01-31,312,Emergency,2025-12-14,2025-12-15,2,Urgent legal matter requiring immediate personal presence,Emergency,1
EMP00125,Employee_125,Sales,Permanent,2023-06-21,902,Sick,2026-01-08,2026-01-24,17,Experiencing severe headache and stomach pain requiring medical attention,Medical,0
EMP00126,Employee_126,IT,Contract,2025-01-26,317,Sick,2026-01-04,2026-01-19,16,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00127,Employee_127,IT,Contract,2025-06-27,165,Earned,2025-12-22,2026-01-08,18,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00128,Employee_128,Engineering,Contract,2025-07-21,141,Casual,2025-12-17,2025-12-26,10,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00129,Employee_129,IT,Permanent,2025-05-17,206,Emergency,2026-01-01,2026-01-06,6,Family emergency due to sudden hospitalization of parent requiring immediate attention,Emergency,1
EMP00130,Employee_130,Engineering,Probation,2025-08-16,115,Earned,2025-12-21,2026-01-01,12,Experiencing severe headache and stomach pain requiring medical attention,Medical,0
EMP00131,Employee_131,Marketing,Contract,2023-08-18,844,Casual,2025-12-15,2025-12-20,6,Cultural event participation with family members,Personal,0
EMP00132,Employee_132,IT,Contract,2024-08-02,494,Emergency,2025-12-14,2026-01-01,19,Critical emergency involving elderly family member hospitalization,Emergency,0
EMP00133,Employee_133,Admin,Probation,2025-11-19,20,Emergency,2025-12-31,2026-01-09,10,Urgent situation at home needs immediate presence and resolution,Emergency,0
EMP00134,Employee_134,Admin,Probation,2024-04-05,613,Emergency,2025-12-24,2026-01-01,9,Child met with an accident and needs immediate care,Emergency,0
EMP00135,Employee_135,IT,Probation,2025-05-04,219,Casual,2025-12-28,2026-01-09,13,Need break from work for personal well-being,Other,0
EMP00136,Employee_136,Operations,Contract,2024-04-13,605,Sick,2025-12-18,2025-12-30,13,Cultural event participation with family members,Personal,0
EMP00137,Employee_137,Admin,Probation,2024-08-24,472,Earned,2025-12-30,2026-01-06,8,Cultural event participation with family members,Personal,0
EMP00138,Employee_138,Operations,Contract,2025-03-03,281,Sick,2025-12-19,2025-12-20,2,I am suffering from high fever and need to visit the doctor for checkup,Medical,1
EMP00139,Employee_139,Sales,Contract,2025-03-14,270,Sick,2025-12-20,2025-12-29,10,Experiencing severe headache and stomach pain requiring medical attention,Medical,0
EMP00140,Employee_140,Marketing,Permanent,2023-11-20,750,Earned,2025-12-18,2025-12-23,6,Having flu symptoms and doctor advised rest for few days,Medical,1
EMP00141,Employee_141,Sales,Permanent,2023-04-24,960,Sick,2026-01-03,2026-01-07,5,Dental emergency requiring immediate clinic visit and recovery,Medical,1
EMP00142,Employee_142,Sales,Permanent,2023-09-22,809,Sick,2025-12-27,2026-01-04,9,Planning to attend professional certification exam,Other,1
EMP00143,Employee_143,Sales,Permanent,2024-08-17,479,Emergency,2025-12-29,2025-12-29,1,Sudden family bereavement and funeral ceremony attendance,Emergency,1
EMP00144,Employee_144,Sales,Contract,2024-09-11,454,Sick,2026-01-08,2026-01-22,15,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00145,Employee_145,HR,Permanent,2025-09-07,93,Sick,2025-12-25,2026-01-03,10,Personal commitment to attend cousin's marriage ceremony,Personal,0
EMP00146,Employee_146,Admin,Probation,2023-08-03,859,Casual,2025-12-30,2026-01-12,14,Parent's birthday celebration and family get together,Personal,0
EMP00147,Employee_147,IT,Probation,2025-10-02,68,Earned,2025-12-24,2025-12-30,7,Need to undergo surgery and recovery time at home,Medical,0
EMP00148,Employee_148,Sales,Permanent,2023-11-17,753,Earned,2025-12-22,2025-12-23,2,Need to undergo surgery and recovery time at home,Medical,1
EMP00149,Employee_149,HR,Probation,2025-06-04,188,Casual,2025-12-10,2025-12-29,20,Anniversary celebration with spouse at planned destination,Personal,0
EMP00150,Employee_150,Marketing,Permanent,2024-10-14,421,Sick,2025-12-16,2026-01-02,18,Need to undergo surgery and recovery time at home,Medical,0
EMP00151,Employee_151,Sales,Permanent,2025-12-03,6,Earned,2025-12-14,2025-12-18,5,Planning to attend professional certification exam,Other,0
EMP00152,Employee_152,Finance,Permanent,2025-10-17,53,Casual,2025-12-21,2025-12-21,1,Cultural event participation with family members,Personal,1
EMP00153,Employee_153,Sales,Permanent,2024-12-17,357,Earned,2025-12-14,2025-12-15,2,Need to handle some important personal matters,Other,1
EMP00154,Employee_154,HR,Contract,2025-07-31,131,Emergency,2026-01-03,2026-01-17,15,Urgent legal matter requiring immediate personal presence,Emergency,0
EMP00155,Employee_155,HR,Probation,2023-02-11,1032,Casual,2025-12-11,2025-12-30,20,Eye checkup appointment with specialist ophthalmologist scheduled,Medical,0
EMP00156,Employee_156,Operations,Probation,2025-10-06,64,Sick,2026-01-06,2026-01-21,16,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00157,Employee_157,Admin,Contract,2023-06-14,909,Sick,2025-12-20,2025-12-22,3,I have a medical appointment scheduled at the hospital for health issues,Medical,1
EMP00158,Employee_158,Finance,Probation,2024-02-12,666,Emergency,2025-12-26,2026-01-14,20,Sudden family bereavement and funeral ceremony attendance,Emergency,0
EMP00159,Employee_159,IT,Permanent,2025-04-18,235,Casual,2025-12-24,2026-01-06,14,Attending important family function out of town,Personal,0
EMP00160,Employee_160,Sales,Probation,2023-09-14,817,Emergency,2025-12-20,2025-12-23,4,Critical emergency involving elderly family member hospitalization,Emergency,0
EMP00161,Employee_161,Sales,Permanent,2023-04-12,972,Sick,2026-01-05,2026-01-07,3,Taking break for mental health and stress relief,Other,1
EMP00162,Employee_162,Sales,Permanent,2025-08-08,123,Earned,2025-12-23,2025-12-26,4,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00163,Employee_163,Engineering,Probation,2024-03-09,640,Earned,2025-12-28,2025-12-31,4,Need time to complete pending personal documentation work,Other,0
EMP00164,Employee_164,Finance,Contract,2023-03-27,988,Casual,2025-12-21,2025-12-24,4,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00165,Employee_165,HR,Probation,2024-09-01,464,Emergency,2026-01-03,2026-01-20,18,Urgent legal matter requiring immediate personal presence,Emergency,0
EMP00166,Employee_166,Engineering,Contract,2024-06-09,548,Sick,2025-12-18,2025-12-23,6,Having flu symptoms and doctor advised rest for few days,Medical,0
EMP00167,Employee_167,Sales,Probation,2025-11-26,13,Casual,2025-12-28,2026-01-01,5,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00168,Employee_168,HR,Permanent,2025-10-07,63,Sick,2025-12-16,2026-01-01,17,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00169,Employee_169,Sales,Permanent,2023-11-12,758,Earned,2026-01-03,2026-01-13,11,Need break from work for personal well-being,Other,0
EMP00170,Employee_170,HR,Permanent,2025-01-24,319,Casual,2025-12-11,2025-12-30,20,I have a medical appointment scheduled at the hospital for health issues,Medical,0
EMP00171,Employee_171,Operations,Probation,2023-07-24,869,Emergency,2025-12-24,2026-01-12,20,Child met with an accident and needs immediate care,Emergency,0
EMP00172,Employee_172,HR,Probation,2023-07-12,881,Sick,2025-12-31,2026-01-09,10,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00173,Employee_173,Operations,Permanent,2024-09-13,452,Emergency,2025-12-11,2025-12-30,20,Planned family vacation to spend quality time together,Personal,0
EMP00174,Employee_174,Finance,Probation,2024-04-25,593,Earned,2025-12-10,2025-12-13,4,Dental emergency requiring immediate clinic visit and recovery,Medical,0
EMP00175,Employee_175,Finance,Permanent,2023-10-22,779,Casual,2025-12-27,2026-01-12,17,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00176,Employee_176,HR,Probation,2025-09-13,87,Emergency,2025-12-24,2025-12-24,1,Unexpected family crisis requiring immediate travel back home,Emergency,1
EMP00177,Employee_177,IT,Contract,2023-09-02,829,Emergency,2025-12-13,2025-12-22,10,Unexpected family crisis requiring immediate travel back home,Emergency,0
EMP00178,Employee_178,Finance,Contract,2023-05-11,943,Earned,2025-12-23,2025-12-25,3,Planned family vacation to spend quality time together,Personal,1
EMP00179,Employee_179,IT,Contract,2023-09-10,821,Sick,2026-01-06,2026-01-18,13,Diagnosed with infection and need time for medication and treatment,Medical,0
EMP00180,Employee_180,Marketing,Probation,2024-12-29,345,Sick,2025-12-30,2026-01-15,17,Anniversary celebration with spouse at planned destination,Personal,0
EMP00181,Employee_181,Sales,Contract,2025-02-09,303,Casual,2025-12-14,2025-12-17,4,Need time to complete pending personal documentation work,Other,0
EMP00182,Employee_182,Finance,Contract,2025-01-29,314,Sick,2026-01-03,2026-01-08,6,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00183,Employee_183,Admin,Contract,2024-02-16,662,Earned,2025-12-24,2025-12-28,5,Parent's birthday celebration and family get together,Personal,1
EMP00184,Employee_184,Operations,Probation,2025-08-15,116,Earned,2025-12-12,2025-12-28,17,Chronic back pain has worsened and need physiotherapy sessions,Medical,0
EMP00185,Employee_185,Admin,Permanent,2025-08-14,117,Earned,2025-12-12,2025-12-21,10,Taking break for mental health and stress relief,Other,0
EMP00186,Employee_186,IT,Probation,2025-09-15,85,Emergency,2025-12-30,2026-01-17,19,Urgent legal matter requiring immediate personal presence,Emergency,0
